Ligand,Receptor,Expr_Prod,Affinity_Pred,Affinity_Score,Rank_Baseline,Rank_Affinity,Rank_Change
HCST,ULBP2,0.00068336003,0.42791408,0.00029241937,409.0,413.0,-4.0
PTPRF,LRFN4,0.0029681283,0.41075632,0.0012191775,234.0,238.0,-4.0
ITGB2,ICAM1,0.0015047723,0.40675747,0.0006120774,313.0,317.0,-4.0
IL12A,IL6ST,0.002246805,0.4016325,0.0009023899,264.0,268.0,-4.0
PLAUR,ITGAV,0.0038930804,0.41451135,0.001613726,215.0,219.0,-4.0
LTBR,TNFSF14,0.035672687,0.42554396,0.015180296,62.0,66.0,-4.0
ACKR1,CCL2,9.6636686e-05,0.38146627,3.6863636e-05,731.0,735.0,-4.0
DLK1,NOTCH1,0.029384473,0.40161082,0.011801123,74.0,78.0,-4.0
FZD4,WNT2,3.4513107e-06,0.40404993,1.3945019e-06,1247.0,1251.0,-4.0
PLXNB3,SEMA5A,1.3805243e-05,0.418512,5.7776597e-06,1078.0,1082.0,-4.0
TNFRSF1A,LTA,0.0061433357,0.44058624,0.0027066693,176.0,180.0,-4.0
LILRB2,HLA-F,0.0028749427,0.41544154,0.0011943707,238.0,242.0,-4.0
GPR37,PSAP,0.003879271,0.41491506,0.0016095679,216.0,220.0,-4.0
IGF1,ITGB4,1.0353932e-05,0.41623494,4.3096684e-06,1130.0,1134.0,-4.0
COL3A1,ADGRG1,0.001294242,0.4167488,0.0005393738,331.0,335.0,-4.0
COL4A2,ITGA1,0.0010215865,0.42987806,0.00043915762,357.0,361.0,-4.0
NOTCH3,JAG2,0.0009939774,0.4162831,0.000413776,369.0,373.0,-4.0
EDN1,EDNRB,0.0008283146,0.40459186,0.00033512933,387.0,391.0,-4.0
TNC,ITGAV,0.00097326987,0.41672644,0.00040558729,370.0,374.0,-4.0
OSMR,OSM,0.0067921835,0.4267013,0.0028982335,168.0,172.0,-4.0
BMP4,BMPR2,0.00402423,0.41329163,0.0016631805,213.0,217.0,-4.0
FN1,ITGAV,0.0019465397,0.41353205,0.00080495654,282.0,286.0,-4.0
NR1H2,DHCR7,0.012383314,0.40795428,0.0050518257,126.0,130.0,-4.0
APLP2,PIGR,0.00046592706,0.415643,0.00019365933,464.5,469.0,-4.5
SLC29A3,ADORA2A,0.00038654692,0.41028953,0.00015859616,500.5,505.0,-4.5
CCR5,CCL7,6.9026214e-06,0.40934128,2.8255279e-06,1187.5,1192.0,-4.5
IGF1,ITGA6,0.00015876035,0.41580167,6.601282e-05,650.5,655.0,-4.5
WNT3,FZD7,1.7256554e-05,0.40765706,7.034756e-06,1032.5,1037.0,-4.5
IL1RAP,IL1B,9.663671e-05,0.40935773,3.955898e-05,723.5,728.0,-4.5
FZD6,WNT7A,4.831835e-05,0.39901748,1.9279867e-05,836.5,841.0,-4.5
CD40LG,ITGB1,0.0028645878,0.40341297,0.0011556118,243.5,248.0,-4.5
WNT9A,FZD7,5.1769664e-05,0.40541583,2.0988242e-05,818.5,823.0,-4.5
COL6A2,ITGA1,0.0030647595,0.40280104,0.0012344883,229.5,234.0,-4.5
CCR5,CCL8,3.7964423e-05,0.40459904,1.5360369e-05,891.5,896.0,-4.5
EDN1,EDNRA,0.00027610487,0.40788636,0.00011261941,562.5,567.0,-4.5
COL4A1,ADGRG6,1.3805243e-05,0.4181558,5.772742e-06,1078.0,1083.0,-5.0
ICAM1,SPN,0.025115117,0.38721085,0.009724846,86.0,91.0,-5.0
BCR,LGALS9,0.0012631806,0.40125662,0.00050685956,337.0,342.0,-5.0
RXRB,ALDH1A2,3.796442e-05,0.39621815,1.5042192e-05,898.0,903.0,-5.0
TYROBP,APP,0.0006522979,0.39970645,0.00026072768,422.0,427.0,-5.0
FLRT3,ADGRL1,6.9026224e-05,0.42727658,2.9493289e-05,770.0,775.0,-5.0
RORA,DHCR24,0.00051769667,0.41237807,0.00021348675,451.0,456.0,-5.0
LRFN4,PTPRS,4.141573e-05,0.40639418,1.683111e-05,872.0,877.0,-5.0
ACKR2,CCL8,0.00011389327,0.40317047,4.5918405e-05,701.0,706.0,-5.0
SLC29A2,ADORA2A,0.0017394612,0.4299331,0.00074785197,291.0,296.0,-5.0
SLC1A1,GRM2,3.4513107e-06,0.4033452,1.3920696e-06,1247.0,1252.0,-5.0
ITGAV,PLAUR,0.0028991022,0.4130063,0.0011973475,236.0,241.0,-5.0
RYK,WNT5A,2.7610486e-05,0.38675,1.06783555e-05,952.0,957.0,-5.0
TYROBP,CD44,0.019776125,0.39960727,0.007902683,96.0,101.0,-5.0
LRP6,WNT5A,1.0353932e-05,0.41318035,4.2780416e-06,1130.0,1135.0,-5.0
IL6ST,OSM,0.0076412065,0.42108223,0.0032175763,161.0,166.0,-5.0
FZD6,WNT1,0.000555661,0.41198608,0.00022892459,441.0,446.0,-5.0
RORA,DHCR7,0.004038036,0.41219258,0.0016644484,210.0,215.0,-5.0
COL4A4,ITGB1,0.0057291756,0.41706318,0.0023894282,183.0,188.0,-5.0
IL27,IL27RA,0.0031613905,0.40012622,0.0012649553,225.0,230.0,-5.0
EFNA3,EPHA4,0.005991479,0.42872214,0.0025686796,178.0,183.0,-5.0
GABBR1,SLC6A6,0.0022778667,0.4091511,0.0009319917,260.0,265.0,-5.0
TNFSF13,TNFRSF17,2.0707865e-05,0.41798842,8.655647e-06,1002.0,1007.0,-5.0
CDH1,ITGB7,0.05603534,0.36840326,0.020643601,49.0,54.0,-5.0
ADGRG6,COL4A2,9.66367e-05,0.39362836,3.8038947e-05,728.0,733.0,-5.0
ITGB1,LAMC1,0.0003347771,0.4234608,0.00014176499,526.5,532.0,-5.5
ICAM3,ITGAL,0.017770777,0.38420773,0.0068276697,106.5,112.0,-5.5
COL6A2,ITGA2,0.0002381404,0.40128204,9.556147e-05,589.5,595.0,-5.5
PTGES3,PTGER3,0.0006626516,0.40354803,0.00026741176,418.5,424.0,-5.5
BMPR2,BMP8A,3.1061798e-05,0.41488808,1.288717e-05,928.5,934.0,-5.5
ITGAV,TNC,0.00020707866,0.4191511,8.679725e-05,611.5,617.0,-5.5
ACVR1B,INHBA,1.7256554e-05,0.40705213,7.0243173e-06,1032.5,1038.0,-5.5
CALCRL,ADM,6.9026214e-06,0.40786025,2.815305e-06,1187.5,1193.0,-5.5
ITGAV,IGF1,0.00033132586,0.4008694,0.0001328184,535.5,541.0,-5.5
WNT10A,FRZB,3.451311e-05,0.40141466,1.3854068e-05,909.5,915.0,-5.5
ACKR2,CCL2,0.00028991007,0.39268672,0.00011384383,558.5,564.0,-5.5
PPARA,UBASH3B,0.00052459945,0.418864,0.00021973583,447.0,453.0,-6.0
FGA,ITGAM,0.001725655,0.3969232,0.00068495254,293.0,299.0,-6.0
FN1,ITGB7,0.018678442,0.39592278,0.0073952205,101.0,107.0,-6.0
DLK1,NOTCH2,0.03383667,0.4048134,0.013697538,65.0,71.0,-6.0
PTGDS,PTGDR,0.005280509,0.4053135,0.0021402617,193.0,199.0,-6.0
SLC6A6,GABBR1,4.141573e-05,0.40561727,1.6798935e-05,872.0,878.0,-6.0
WNT9A,FZD4,1.0353932e-05,0.41083091,4.2537154e-06,1130.0,1136.0,-6.0
COL6A2,ITGB1,0.008593763,0.40669927,0.0034950771,156.0,162.0,-6.0
TNFRSF25,TNFSF12,0.00010353931,0.3980089,4.120957e-05,716.0,722.0,-6.0
FZD8,WNT2,3.4513107e-06,0.40125903,1.3848696e-06,1247.0,1253.0,-6.0
EFNA4,EPHA1,0.0098293405,0.42447713,0.0041723303,137.0,143.0,-6.0
CCL4,CCR5,0.0036929047,0.38017154,0.0014039372,218.0,224.0,-6.0
CXCL9,CXCR3,0.008614467,0.41094893,0.0035401061,152.0,158.0,-6.0
SPP1,ITGA4,0.015316911,0.40276328,0.006169089,114.0,120.0,-6.0
AR,SRD5A1,0.031320658,0.38364014,0.012015861,71.0,77.0,-6.0
SRD5A1,AR,0.00038654683,0.40626326,0.00015703977,504.0,510.0,-6.0
ALDH1A3,RARA,0.00731677,0.4134555,0.0030251588,164.0,170.0,-6.0
ITGA2,COL4A4,2.0707865e-05,0.4129334,8.550969e-06,1002.0,1008.0,-6.0
L1CAM,EZR,0.014150455,0.38160005,0.0053998143,120.0,126.0,-6.0
ADGRE5,LPAR2,0.0026298964,0.3924039,0.0010319815,253.0,259.0,-6.0
SLC6A11,GABRE,1.3805243e-05,0.41663507,5.751748e-06,1078.0,1084.0,-6.0
LTB4R2,PTGR1,6.2123596e-05,0.40980068,2.5458292e-05,786.5,793.0,-6.5
RAMP1,CALCB,0.00037964422,0.40576923,0.00015404794,506.5,513.0,-6.5
FZD10,WNT7A,6.9026214e-06,0.4063113,2.8046131e-06,1187.5,1194.0,-6.5
WNT6,FRZB,1.7256554e-05,0.4049568,6.988159e-06,1032.5,1039.0,-6.5
PTPRS,LRFN4,0.00048318357,0.41317776,0.00019964071,459.5,466.0,-6.5
WNT4,SFRP1,4.8318354e-05,0.4012018,1.9385412e-05,829.5,836.0,-6.5
JAG2,NOTCH2,0.00078689924,0.3997469,0.00031456052,394.5,401.0,-6.5
ITGA2,COL6A3,0.000103539336,0.4074683,4.2188996e-05,710.5,717.0,-6.5
LCN2,SLC22A17,0.00012424719,0.4115896,5.113885e-05,687.5,694.0,-6.5
FZD1,WNT2B,6.902622e-05,0.4125619,2.8477587e-05,773.5,780.0,-6.5
ICAM1,ITGB2,0.08944434,0.35557145,0.031803854,33.5,40.0,-6.5
LAMC1,ITGB1,0.0028645878,0.39724314,0.0011379379,243.5,250.0,-6.5
IL20RA,IL24,0.00019327347,0.40775704,7.880862e-05,623.5,630.0,-6.5
ITGB5,ADGRB1,5.522097e-05,0.39884958,2.202486e-05,808.5,815.0,-6.5
LAMC1,ITGA6,0.00015876035,0.4122214,6.5444416e-05,650.5,657.0,-6.5
ITGB2,JAM3,9.663671e-05,0.40351444,3.899431e-05,723.5,730.0,-6.5
IGF1R,IGF1,2.761049e-05,0.42521682,1.1740444e-05,939.5,946.0,-6.5
FZD6,WNT7B,2.4159175e-05,0.3982295,9.620897e-06,975.5,982.0,-6.5
DHCR24,RORC,0.0009491107,0.38586155,0.00036622531,375.0,382.0,-7.0
PLXNB2,SEMA4D,0.016134817,0.38617265,0.006230825,112.0,119.0,-7.0
PLXNB1,SEMA4D,0.008800809,0.40330753,0.0035494326,150.0,157.0,-7.0
CEACAM6,CEACAM1,0.000310618,0.4106017,0.00012754028,542.0,549.0,-7.0
SFRP2,WNT2,1.0353932e-05,0.41030854,4.248307e-06,1130.0,1137.0,-7.0
ITGAV,L1CAM,0.00057982025,0.39832845,0.0002309589,438.0,445.0,-7.0
GABRA3,SLC6A6,0.0018222934,0.4198945,0.00076517096,287.0,294.0,-7.0
BDNF,NTRK2,2.0707865e-05,0.40935606,8.47689e-06,1002.0,1009.0,-7.0
FZD8,WNT2B,1.3805243e-05,0.41503212,5.7296193e-06,1078.0,1085.0,-7.0
FZD1,WNT1,0.0003969007,0.40207458,0.00015958368,495.0,502.0,-7.0
GABRE,SLC6A6,0.0068336003,0.4148193,0.0028347094,167.0,174.0,-7.0
F11R,ITGB2,0.09885954,0.33317056,0.032937087,30.0,37.0,-7.0
ITGA2,COL6A2,0.00019672471,0.41951045,8.252807e-05,620.0,627.0,-7.0
COL18A1,ITGB1,0.0057291756,0.41447842,0.0023746197,183.0,190.0,-7.0
SFRP1,WNT1,0.0019051237,0.41737282,0.00079514686,283.0,290.0,-7.0
ALDH1A3,RXRB,0.0027610501,0.38826138,0.0010720091,250.0,257.0,-7.0
IL6ST,LIF,0.00018637079,0.38746536,7.221222e-05,631.0,638.0,-7.0
PODXL2,SELL,0.012604197,0.37420234,0.0047165197,125.0,132.0,-7.0
ITGA2,COL6A1,0.0001242472,0.41883987,5.2039682e-05,684.0,691.0,-7.0
NOTCH2,JAG2,0.002899101,0.4056133,0.001175914,237.0,244.0,-7.0
FGA,ITGAX,0.0012424719,0.3940939,0.0004896506,338.0,345.0,-7.0
SULT1A1,PPARA,0.0014081345,0.40772155,0.0005741268,322.0,329.0,-7.0
ITGAX,FCER2,3.4513107e-06,0.4011194,1.3843877e-06,1247.0,1254.0,-7.0
LRP5,WNT1,0.0012700822,0.39678308,0.00050394714,336.0,343.0,-7.0
ALDH1A3,RARG,0.000911146,0.38681737,0.0003524471,378.0,385.0,-7.0
GABRQ,SLC6A6,0.0009111467,0.39651898,0.00036128695,377.0,384.0,-7.0
VCAM1,ITGB7,0.0015565368,0.3938921,0.0006131075,308.0,315.0,-7.0
WNT5A,FZD3,3.7964423e-05,0.39979818,1.5178107e-05,891.5,899.0,-7.5
COL21A1,ITGA2,0.00015876027,0.3986115,6.328367e-05,654.5,662.0,-7.5
VCAM1,ITGB2,0.0047075967,0.402649,0.0018955091,200.5,208.0,-7.5
ITGB1,COL15A1,0.0013391085,0.41015345,0.0005492399,325.5,333.0,-7.5
WNT4,FZD7,1.7256554e-05,0.40481701,6.985747e-06,1032.5,1040.0,-7.5
COL3A1,ITGA2,0.00039690066,0.40106937,0.0001591847,496.5,504.0,-7.5
NOTCH3,DLK1,0.00033132586,0.39460894,0.00013074416,535.5,543.0,-7.5
IL2RG,IL21,0.00014495506,0.40927744,5.9326838e-05,663.5,671.0,-7.5
DAGLB,CNR2,3.1061798e-05,0.40711334,1.26456725e-05,928.5,936.0,-7.5
ITGB2,THY1,0.00011044196,0.38611227,4.2642994e-05,706.5,714.0,-7.5
FGB,ITGAX,0.00024849435,0.38967392,9.683177e-05,581.5,589.0,-7.5
LRP5,WNT7A,0.00011044194,0.38246062,4.2239695e-05,708.5,716.0,-7.5
IL1RN,IL1R1,6.9026214e-06,0.4058352,2.801327e-06,1187.5,1195.0,-7.5
PTGES3,PTGER1,0.0006626516,0.39415577,0.00026118796,418.5,426.0,-7.5
COL3A1,ITGB1,0.014322938,0.41258213,0.0059093884,115.5,123.0,-7.5
TBXA2R,TBXAS1,5.867228e-05,0.39957967,2.344425e-05,794.5,802.0,-7.5
FZD1,WNT10A,0.0010181371,0.4180305,0.00042561235,360.0,368.0,-8.0
SIRPB1,CD47,0.0022537033,0.39578965,0.0008919925,263.0,271.0,-8.0
IL1RAP,IL1RN,2.0707865e-05,0.4073167,8.434659e-06,1002.0,1010.0,-8.0
TYROBP,CD47,0.00676111,0.40739188,0.0027544212,169.0,177.0,-8.0
ACVR2B,BMP5,1.3805243e-05,0.41479045,5.726283e-06,1078.0,1086.0,-8.0
F11R,ITGAL,0.019641386,0.38257527,0.0075143087,97.0,105.0,-8.0
COL4A3,ITGA10,1.0353932e-05,0.40916485,4.236465e-06,1130.0,1138.0,-8.0
WNT9A,FZD6,0.00013460114,0.413301,5.5630786e-05,675.0,683.0,-8.0
JAG1,NOTCH1,0.0020500794,0.40861893,0.00083770126,273.0,281.0,-8.0
COL5A1,ITGA1,0.0010215865,0.41990903,0.00042897338,357.0,365.0,-8.0
EPHA1,EFNA1,2.4159177e-05,0.41164586,9.945025e-06,965.0,973.0,-8.0
RET,PSPN,2.7610486e-05,0.38314027,1.05786885e-05,952.0,960.0,-8.0
EFNA3,EPHA1,0.008600673,0.40882516,0.0035161714,153.0,161.0,-8.0
DRD4,SLC6A3,3.4513107e-06,0.4008353,1.3834072e-06,1247.0,1255.0,-8.0
HLA-E,KLRC3,0.08156141,0.35597342,0.029033694,38.0,46.0,-8.0
COL21A1,ITGB1,0.0057291756,0.40344635,0.002311415,183.0,191.0,-8.0
ITGB2,ICAM3,0.012079591,0.38460562,0.0046458784,127.0,135.0,-8.0
SULT1A1,PPARG,0.00064539514,0.38612118,0.00024920073,424.0,432.0,-8.0
RORC,LIPA,0.009049344,0.42109013,0.0038105894,143.0,151.0,-8.0
FZD6,WNT5A,2.4159175e-05,0.3932676,9.501021e-06,975.5,984.0,-8.5
SRD5A3,AR,0.00038654695,0.4099874,0.00015847938,498.5,507.0,-8.5
COL21A1,ITGA1,0.002043173,0.40297493,0.0008233475,276.5,285.0,-8.5
ITGAV,VWF,0.00020707866,0.40600154,8.407425e-05,611.5,620.0,-8.5
ITGAV,SPP1,0.0008283145,0.3827443,0.00031703268,388.5,397.0,-8.5
ICAM3,ITGB2,0.08944434,0.3435398,0.03072769,33.5,42.0,-8.5
WNT4,FRZB,1.7256554e-05,0.4024327,6.944602e-06,1032.5,1041.0,-8.5
JAG2,NOTCH1,0.0006833598,0.40289983,0.00027532555,410.5,419.0,-8.5
COL18A1,ITGA2,0.00015876027,0.3978882,6.3168845e-05,654.5,663.0,-8.5
EDN2,EDNRA,7.592884e-05,0.38957834,2.9580231e-05,765.5,774.0,-8.5
ITGAX,ICAM1,0.0003761931,0.3998415,0.0001504176,508.5,517.0,-8.5
PROC,PROCR,6.9026214e-06,0.40542287,2.7984806e-06,1187.5,1196.0,-8.5
SLC29A4,ADORA2A,0.00038654692,0.4084096,0.00015786946,500.5,509.0,-8.5
SLC18A2,ADRB1,5.522097e-05,0.39604616,2.1870053e-05,808.5,817.0,-8.5
TGFB1,TGFBR2,0.0014288377,0.40217304,0.00057464,319.0,328.0,-9.0
THY1,ADGRE5,0.018319622,0.3632749,0.006655059,104.0,113.0,-9.0
IL1RAP,PTPRF,6.21236e-05,0.42090225,2.6147964e-05,782.0,791.0,-9.0
LGALS9,PTPRC,0.026616605,0.3796797,0.010105785,80.0,89.0,-9.0
PGF,FLT1,2.0707866e-05,0.44073427,9.126667e-06,986.0,995.0,-9.0
ERBB4,NRG2,0.0005867228,0.3973286,0.00023312174,434.0,443.0,-9.0
FZD4,WNT7B,3.4513107e-06,0.3975959,1.3722271e-06,1247.0,1256.0,-9.0
SPP1,ITGB1,0.020052115,0.38629922,0.0077461163,95.0,104.0,-9.0
OPRK1,POMC,0.00021398137,0.41549122,8.8907385e-05,603.0,612.0,-9.0
TBXAS1,TBXA2R,4.141573e-05,0.39831397,1.6496464e-05,872.0,881.0,-9.0
ITGA2,COL5A3,1.0353932e-05,0.40646535,4.208515e-06,1130.0,1139.0,-9.0
ADGRE5,ITGB1,0.008593763,0.378818,0.0032554723,156.0,165.0,-9.0
CYSLTR1,LTC4S,0.00047628107,0.40366647,0.0001922587,461.0,470.0,-9.0
CD47,SIRPB1,0.00030026404,0.3937676,0.00011823425,551.0,560.0,-9.0
SLC6A6,GABRE,1.3805243e-05,0.4147022,5.7250645e-06,1078.0,1087.0,-9.0
IL18,IL18R1,0.0010008806,0.39379042,0.0003941372,367.0,376.0,-9.0
WNT9A,LRP5,2.0707865e-05,0.40620452,8.411628e-06,1002.0,1011.0,-9.0
LAMC1,ITGA2,7.938014e-05,0.38910642,3.088732e-05,756.0,765.0,-9.0
RARA,ALDH1A1,0.00013805243,0.41031492,5.6644974e-05,670.0,679.0,-9.0
ACVR2A,BMP8A,1.7256554e-05,0.40110883,6.9217563e-06,1032.5,1042.0,-9.5
BMP4,ACVR2A,0.00037964422,0.39721197,0.00015079923,506.5,516.0,-9.5
HSD17B1,ESR1,6.9026214e-06,0.40501508,2.7956658e-06,1187.5,1197.0,-9.5
SEMA6D,TREM2,2.761049e-05,0.41798115,1.1540664e-05,939.5,949.0,-9.5
TYROBP,APOA1,6.2123596e-05,0.40053478,2.488266e-05,786.5,796.0,-9.5
SEMA4C,PLXNB2,6.902622e-05,0.39875823,2.7524773e-05,773.5,783.0,-9.5
LRP5,WNT5B,5.522097e-05,0.39445767,2.1782336e-05,808.5,818.0,-9.5
ITGAV,TGFB3,0.00028991012,0.39220446,0.000113704045,555.5,565.0,-9.5
C3,ITGB2,0.0047075967,0.38586155,0.0018164805,200.5,210.0,-9.5
RARG,ALDH1A2,2.4159175e-05,0.39190096,9.468004e-06,975.5,985.0,-9.5
FGFR4,TGFBR3,0.009567039,0.41051254,0.0039273896,138.0,148.0,-10.0
NOTCH2,DLK1,0.00096636725,0.38354573,0.00037064604,371.0,381.0,-10.0
WNT3,FZD1,1.3805243e-05,0.41272894,5.6978233e-06,1078.0,1088.0,-10.0
INHBB,ACVR2A,0.00048318363,0.4066755,0.00019649894,458.0,468.0,-10.0
CCL5,ACKR1,0.00013805243,0.40883258,5.644033e-05,670.0,680.0,-10.0
IFNG,IFNGR2,3.10618e-05,0.42424485,1.317781e-05,918.0,928.0,-10.0
L1CAM,ITGB1,0.0057291756,0.4010845,0.0022978836,183.0,193.0,-10.0
COL6A2,ITGA10,1.0353932e-05,0.40401062,4.1830986e-06,1130.0,1140.0,-10.0
NOTCH2,DLL1,0.00012079589,0.39013985,4.712729e-05,693.0,703.0,-10.0
PTPRC,SEMA4D,0.0014668016,0.39384297,0.0005776895,316.0,326.0,-10.0
FGG,ITGAX,0.0040380335,0.38526988,0.0015557327,211.0,221.0,-10.0
ADGRG1,COL3A1,0.0017014965,0.39323533,0.00066908856,294.0,304.0,-10.0
GLRB,SHMT2,0.0010215888,0.42008364,0.00042915274,354.0,364.0,-10.0
HRH1,HDC,3.4513107e-06,0.39712742,1.3706101e-06,1247.0,1257.0,-10.0
COL18A1,ITGA1,0.002043173,0.39390755,0.00080482126,276.5,287.0,-10.5
WNT9A,FRZB,5.1769664e-05,0.39059654,2.0221052e-05,818.5,829.0,-10.5
ACVR2A,INHBA,1.7256554e-05,0.3989417,6.884359e-06,1032.5,1043.0,-10.5
IGFLR1,IGFL2,3.1061798e-05,0.3983874,1.2374629e-05,928.5,939.0,-10.5
COL21A1,ITGA10,6.9026214e-06,0.40416607,2.7898054e-06,1187.5,1198.0,-10.5
CSPG4,ITGB1,0.0028645878,0.38924432,0.0011150246,243.5,254.0,-10.5
SFRP1,WNT7B,8.283147e-05,0.39849344,3.30078e-05,742.5,753.0,-10.5
ICAM3,ITGAD,0.0006557491,0.38433793,0.00025202925,420.5,431.0,-10.5
LIPA,RORA,0.0116516305,0.3658639,0.0042629107,130.0,141.0,-11.0
ITGB5,FN1,0.0011044194,0.40635815,0.0004487898,346.0,357.0,-11.0
ADRB2,DBH,3.4513107e-06,0.3963759,1.3680163e-06,1247.0,1258.0,-11.0
LGALS9,P4HB,0.0051907683,0.3894216,0.0020213975,194.0,205.0,-11.0
THBS1,ITGAV,0.002270963,0.38426137,0.0008726434,262.0,273.0,-11.0
ITGAV,THBS1,0.0022778653,0.38804257,0.0008839087,261.0,272.0,-11.0
FGG,ITGAM,0.005608379,0.36753738,0.0020612888,190.0,201.0,-11.0
JAG2,NOTCH3,1.0353932e-05,0.4027524,4.170071e-06,1130.0,1141.0,-11.0
ACKR2,CCL7,2.0707865e-05,0.4022062,8.328831e-06,1002.0,1013.0,-11.0
COL4A3,ADGRG6,4.141573e-05,0.39135194,1.6208125e-05,872.0,883.0,-11.0
HSD17B1,ESR2,2.7610486e-05,0.3803487,1.0501612e-05,952.0,963.0,-11.0
ITGB2,FCER2,1.3805243e-05,0.40892038,5.645245e-06,1078.0,1089.0,-11.0
SULT1A1,PPARD,0.0021708745,0.39087218,0.00084853446,269.0,280.0,-11.0
GGT1,CYSLTR2,0.0002761049,0.3871768,0.00010690141,561.0,572.0,-11.0
RARA,ALDH1A2,6.902622e-05,0.3961253,2.734303e-05,773.5,785.0,-11.5
TGFB3,TGFBR3,0.00079725316,0.39259687,0.0003129991,391.5,403.0,-11.5
ACKR1,CXCL1,3.1061798e-05,0.3971988,1.23377085e-05,928.5,940.0,-11.5
